time,ax,ay,az,atotal
3.948,-2.51,0.89,1.26,2.95
3.958,-2.34,1.31,1.10,2.90
3.968,-2.15,1.61,0.82,2.81
3.978,-1.87,1.74,0.72,2.65
3.988,-1.46,1.75,0.67,2.38
3.998,-1.00,1.69,0.65,2.07
4.008,-0.60,1.59,0.64,1.81
4.018,-0.28,1.37,0.60,1.52
4.028,0.03,1.13,0.54,1.25
4.038,0.33,0.86,0.28,0.96
4.048,0.62,0.58,-0.21,0.87
4.058,1.01,0.34,-0.92,1.41
4.069,1.58,0.13,-1.83,2.42
4.078,2.20,-0.25,-2.85,3.61
4.089,2.74,-0.93,-3.91,4.87
4.099,3.19,-1.73,-5.09,6.25
4.109,3.52,-2.33,-5.92,7.27
4.119,3.76,-2.51,-6.02,7.53
4.129,3.71,-2.44,-6.34,7.74
4.139,3.10,-2.55,-6.80,7.90
4.149,1.70,-2.81,-6.30,7.10
4.159,0.11,-2.85,-4.62,5.43
4.169,-0.89,-2.19,-2.67,3.56
4.179,-1.55,-0.69,-1.15,2.05
4.189,-2.44,1.38,-0.26,2.81
4.199,-2.96,3.10,0.28,4.30
4.209,-3.19,4.13,0.73,5.27
4.219,-3.38,4.28,1.17,5.58
4.230,-3.60,3.56,1.60,5.31
4.240,-3.69,2.09,2.01,4.69
4.250,-3.68,-0.12,2.32,4.35
4.260,-3.44,-3.07,2.63,5.31
4.270,-2.89,-6.23,2.83,7.43
4.280,-2.16,-8.61,2.86,9.32
4.290,-1.60,-9.50,2.58,9.98
4.300,-0.65,-8.74,1.97,8.98
4.310,1.13,-6.22,-0.54,6.35
4.320,2.73,-2.40,-3.86,5.30
4.330,1.62,1.33,-2.30,3.11
4.340,0.00,3.38,-0.21,3.39
4.350,-0.44,4.39,0.42,4.43
4.360,-0.49,4.94,0.56,4.99
4.371,-0.61,4.94,0.47,5.00
4.381,-0.62,4.37,0.19,4.42
4.391,-0.36,3.13,0.10,3.15
4.401,0.08,1.45,0.19,1.47
4.411,0.84,0.01,0.55,1.01
4.421,1.40,-0.87,0.96,1.90
4.431,1.77,-0.76,1.65,2.54
4.441,2.23,-0.91,3.01,3.85
4.451,2.51,-1.07,4.50,5.26
4.461,2.62,-0.29,5.27,5.89
4.471,2.49,0.42,4.17,4.87
4.481,2.22,0.48,2.41,3.31
4.491,1.98,0.42,1.06,2.29
4.501,1.69,0.60,0.11,1.80
4.512,1.40,0.83,-0.48,1.70
4.522,1.16,1.08,-0.80,1.77
4.532,0.93,1.38,-0.88,1.88
4.542,0.65,1.59,-0.83,1.91
4.552,0.47,1.68,-0.73,1.89
4.562,0.32,1.58,-0.64,1.74
4.572,0.29,1.36,-0.58,1.50
4.582,0.26,0.94,-0.61,1.15
4.592,0.25,0.42,-0.66,0.82
4.602,0.17,-0.01,-0.72,0.74
4.612,0.05,-0.27,-0.83,0.87
4.622,-0.14,-0.36,-0.88,0.96
4.632,-0.32,-0.27,-0.95,1.04
4.642,-0.43,0.00,-0.97,1.06
4.652,-0.48,0.36,-0.93,1.11
4.662,-0.51,0.66,-0.90,1.23
4.673,-0.55,0.85,-0.87,1.33
4.683,-0.52,0.89,-0.82,1.32
4.693,-0.46,0.83,-0.79,1.24
4.703,-0.42,0.62,-0.74,1.05
4.713,-0.32,0.22,-0.72,0.81
4.723,-0.21,-0.25,-0.70,0.77
4.733,-0.03,-0.73,-0.69,1.00
4.743,0.14,-1.11,-0.68,1.31
4.753,0.34,-1.26,-0.71,1.49
4.763,0.58,-1.22,-0.78,1.56
4.773,0.90,-1.12,-0.83,1.66
4.783,1.27,-1.04,-0.93,1.88
4.793,1.57,-0.94,-1.01,2.09
4.803,1.67,-0.71,-1.10,2.12
4.814,1.59,-0.43,-1.24,2.07
4.824,1.61,-0.28,-1.48,2.20
4.834,1.84,-0.37,-1.67,2.51
4.844,2.22,-0.77,-1.78,2.95
4.854,2.73,-1.51,-1.77,3.59
4.864,3.44,-2.60,-1.99,4.75
4.874,4.44,-3.91,-3.91,7.09
4.884,5.77,-5.70,-13.62,15.85
4.894,6.47,-7.14,-23.60,25.49
4.904,5.50,-6.19,-16.71,18.65
4.914,4.19,-3.73,-7.62,9.46
4.924,3.09,-1.41,-2.72,4.35
4.934,1.47,0.15,0.52,1.57
4.944,-0.41,0.99,3.79,3.94
4.955,-1.68,0.68,4.20,4.58
4.965,-1.05,-0.12,3.37,3.54
4.975,-0.51,-0.63,3.54,3.63
4.985,-0.80,-1.59,4.45,4.80
4.995,-0.79,-2.83,5.70,6.41
5.005,-1.19,-4.25,6.55,7.90
5.015,-1.81,-5.64,7.28,9.38
5.025,-2.09,-6.68,7.55,10.29
5.035,-1.82,-6.80,6.35,9.48
5.045,-1.39,-5.66,4.60,7.42
5.055,-1.69,-3.76,3.63,5.49
5.065,-1.08,-1.21,0.59,1.72
5.075,0.42,1.06,-3.94,4.10
5.085,0.54,2.47,-5.90,6.42
5.096,-0.67,2.75,-4.48,5.30
5.106,-1.19,2.59,-2.24,3.63
5.116,-2.05,2.25,0.35,3.06
5.126,-2.74,2.16,2.35,4.21
5.136,-2.93,2.30,3.56,5.15
5.146,-2.70,2.44,3.88,5.32
5.156,-2.65,2.46,4.11,5.48
5.166,-2.56,2.45,4.18,5.48
5.176,-2.46,2.47,4.18,5.44
5.186,-2.43,2.52,4.09,5.38
5.196,-2.49,2.48,4.00,5.32
5.206,-3.01,2.52,3.90,5.54
5.216,-3.85,2.78,3.84,6.10
5.226,-4.42,3.09,3.76,6.57
5.237,-4.57,3.30,3.69,6.74
5.247,-4.39,3.39,3.62,6.62
5.257,-3.96,3.46,3.52,6.33
5.267,-3.39,3.44,3.52,5.98
5.277,-2.91,3.25,3.45,5.56
5.287,-2.58,3.05,3.27,5.16
5.297,-2.34,2.92,3.00,4.80
5.307,-2.11,2.74,2.68,4.38
5.317,-1.82,2.34,2.25,3.72
5.327,-1.29,1.60,1.52,2.56
5.337,-0.32,0.48,-0.14,0.59
5.347,1.39,-1.07,-3.59,3.99
5.357,3.99,-3.37,-9.64,10.97
5.367,7.38,-7.05,-17.56,20.31
5.378,10.49,-10.39,-19.19,24.22
5.388,11.42,-11.13,-13.56,20.93
5.398,9.85,-9.96,-9.56,16.96
5.408,5.34,-7.67,-6.38,11.31
5.418,0.73,-5.26,-3.92,6.60
5.428,-1.73,-2.22,-2.13,3.53
5.438,-3.86,0.84,-0.71,4.01
5.448,-5.13,1.62,0.47,5.40
5.458,-5.92,-0.04,1.07,6.02
5.468,-6.63,-2.38,1.54,7.22
5.478,-6.57,-4.12,2.50,8.14
5.488,-5.77,-4.70,2.71,7.91
5.498,-4.85,-3.96,2.16,6.62
5.508,-3.95,-2.36,1.82,4.95
5.519,-2.71,-0.44,2.66,3.83
5.528,-1.67,1.44,3.18,3.87
5.539,-1.03,2.88,3.48,4.64
5.549,-0.74,3.84,3.69,5.38
5.559,-0.56,4.01,3.60,5.42
5.569,-0.65,3.40,3.79,5.13
5.579,-0.88,2.18,4.28,4.88
5.589,-0.88,0.72,4.85,4.98
5.599,-0.61,-0.71,5.08,5.16
5.609,-0.40,-1.77,4.95,5.28
5.619,-0.20,-2.23,4.72,5.22
5.629,0.26,-1.93,4.19,4.62
5.639,0.70,-1.18,3.41,3.67
5.649,0.98,-0.35,2.73,2.92
5.660,1.24,0.34,2.14,2.49
5.670,1.53,0.91,1.65,2.43
5.680,1.82,1.35,1.26,2.60
5.690,1.90,1.72,1.06,2.77
5.700,1.74,2.00,1.18,2.90
5.710,1.45,2.30,1.60,3.15
5.720,1.09,2.62,1.73,3.32
5.730,1.14,2.46,0.90,2.85
5.740,1.53,1.84,-0.13,2.40
5.750,1.74,1.37,-0.88,2.38
5.760,1.65,1.05,-1.28,2.34
5.770,1.43,0.84,-1.50,2.24
5.780,1.13,0.68,-1.59,2.07
5.790,0.86,0.47,-1.58,1.87
5.800,0.69,0.26,-1.39,1.57
5.811,0.45,0.11,-1.10,1.19
5.821,0.13,-0.03,-1.12,1.13
5.831,-0.05,-0.14,-1.51,1.52
5.841,-0.09,-0.31,-1.95,1.98
5.851,-0.19,-0.40,-2.26,2.30
5.861,-0.27,-0.33,-2.48,2.52
5.871,-0.41,-0.18,-2.60,2.64
5.881,-0.43,-0.10,-2.62,2.66
5.891,-0.30,-0.38,-2.58,2.62
5.901,-0.07,-0.90,-2.50,2.66
5.911,0.32,-1.31,-2.52,2.85
5.921,0.89,-1.40,-2.69,3.16
5.931,1.56,-1.38,-2.98,3.63
5.942,2.23,-1.39,-3.20,4.14
5.951,2.69,-1.29,-3.33,4.48
5.962,2.80,-1.02,-3.54,4.63
5.972,2.51,-0.77,-3.86,4.67
5.982,2.30,-0.77,-3.93,4.62
5.992,2.57,-1.10,-3.72,4.66
6.002,2.85,-1.57,-3.46,4.75
6.012,3.14,-2.25,-3.29,5.07
6.022,3.35,-3.01,-3.59,5.76
6.032,3.43,-3.43,-5.26,7.16
6.042,3.52,-4.04,-8.61,10.14
6.052,3.68,-5.31,-11.87,13.51
6.062,3.65,-5.82,-10.34,12.41
6.072,3.04,-4.44,-6.20,8.21
6.082,1.96,-2.08,-1.97,3.47
6.092,0.84,-0.58,2.10,2.34
6.103,-0.04,-0.59,3.56,3.61
6.113,0.25,-1.23,3.31,3.54
6.123,1.04,-1.38,3.71,4.10
6.133,0.46,-2.02,4.25,4.73
6.143,-0.05,-2.93,5.00,5.79
6.153,0.04,-3.96,5.49,6.77
6.163,-0.75,-5.18,6.14,8.06
6.173,-1.83,-6.06,6.98,9.42
6.183,-2.34,-5.94,7.81,10.09
6.193,-1.68,-4.79,7.04,8.68
6.203,-1.02,-2.97,6.29,7.03
6.213,-0.42,-1.09,5.33,5.45
6.224,1.17,0.66,1.06,1.71
6.233,2.10,1.75,-5.30,5.97
6.244,1.38,2.37,-5.56,6.21
6.254,-0.52,2.33,-2.92,3.77
6.264,-1.77,2.19,-0.19,2.82
6.274,-2.46,2.18,1.79,3.74
