time,ax,ay,az,atotal
4.159,0.01,-0.02,-0.03,0.04
4.169,0.02,-0.01,-0.03,0.04
4.179,0.02,-0.02,-0.01,0.03
4.189,-0.00,0.03,-0.00,0.03
4.199,-0.01,0.01,-0.01,0.02
4.209,-0.03,0.00,-0.05,0.05
4.219,0.00,-0.00,-0.04,0.04
4.229,0.00,-0.03,0.02,0.04
4.239,-0.02,-0.06,0.06,0.09
4.249,-0.02,-0.05,0.05,0.07
4.260,-0.00,-0.02,0.01,0.02
4.270,-0.01,0.00,-0.04,0.04
4.280,-0.00,0.02,-0.03,0.04
4.290,-0.02,0.03,-0.01,0.04
4.300,-0.02,0.04,-0.01,0.04
4.310,-0.02,0.05,0.02,0.06
4.320,-0.03,0.05,0.05,0.07
4.330,-0.00,0.02,0.03,0.03
4.340,-0.01,0.02,0.03,0.04
4.350,-0.01,-0.00,0.02,0.02
4.360,-0.01,-0.04,0.01,0.05
4.370,-0.02,-0.04,0.00,0.04
4.380,-0.02,-0.01,0.02,0.03
4.390,-0.01,-0.02,0.00,0.02
4.401,0.03,-0.02,-0.02,0.04
4.410,0.02,-0.01,-0.02,0.03
4.421,0.02,-0.01,-0.03,0.04
4.431,0.03,-0.00,-0.03,0.05
4.441,0.01,-0.00,-0.01,0.02
4.451,0.01,-0.01,0.02,0.02
4.461,0.00,-0.01,0.01,0.02
4.471,-0.01,-0.01,0.02,0.02
4.481,-0.00,0.02,0.01,0.02
4.491,-0.05,0.02,-0.05,0.07
4.501,0.01,-0.01,-0.08,0.08
4.511,0.02,-0.02,-0.03,0.04
4.521,0.00,-0.00,0.02,0.02
4.531,-0.00,0.00,0.05,0.05
4.542,-0.02,0.03,0.02,0.04
4.552,-0.04,0.03,0.04,0.06
4.562,-0.03,0.01,0.06,0.06
4.572,-0.01,0.02,0.04,0.04
4.582,-0.03,0.04,0.01,0.05
4.592,-0.02,0.03,0.00,0.04
4.602,-0.00,-0.01,0.03,0.03
4.612,0.00,0.00,0.01,0.02
4.622,0.01,-0.02,-0.00,0.02
4.632,-0.01,-0.03,-0.03,0.04
4.642,-0.02,-0.03,-0.01,0.04
4.652,0.01,-0.01,0.01,0.02
4.662,-0.01,0.00,0.01,0.02
4.672,-0.00,0.02,-0.02,0.03
4.683,-0.00,0.01,-0.00,0.01
4.693,0.01,-0.00,0.02,0.03
4.703,0.01,-0.02,0.01,0.02
4.713,0.01,-0.01,-0.02,0.02
4.723,0.02,-0.03,-0.03,0.04
4.733,0.01,-0.04,-0.03,0.05
4.743,-0.02,-0.03,-0.02,0.04
4.753,-0.01,0.01,-0.02,0.03
4.763,-0.01,0.02,0.02,0.03
4.773,-0.01,0.02,0.01,0.03
4.783,-0.02,0.02,0.00,0.02
4.793,0.00,0.00,-0.02,0.02
4.803,0.01,-0.01,0.02,0.02
4.813,-0.00,-0.02,0.02,0.03
4.823,0.00,-0.01,0.00,0.01
4.833,-0.02,0.02,0.02,0.03
4.844,-0.03,0.01,0.04,0.05
4.854,-0.02,0.01,0.04,0.05
4.864,-0.00,-0.00,0.01,0.01
4.874,-0.00,0.02,0.00,0.02
4.884,0.00,-0.00,0.01,0.01
4.894,-0.01,-0.02,0.00,0.02
4.904,-0.00,-0.03,-0.01,0.03
4.914,0.03,-0.04,-0.02,0.05
4.924,0.01,-0.01,-0.03,0.03
4.934,0.02,-0.00,-0.03,0.03
4.944,-0.02,-0.02,-0.03,0.04
4.954,-0.01,-0.02,-0.01,0.02
4.964,-0.01,-0.00,0.02,0.02
4.974,-0.00,0.00,0.04,0.04
4.985,-0.00,-0.02,-0.03,0.04
4.994,-0.01,-0.02,-0.06,0.06
5.005,0.01,-0.03,-0.04,0.05
5.015,0.02,-0.05,0.00,0.05
5.025,0.01,-0.04,0.02,0.05
5.035,-0.00,-0.02,0.02,0.03
5.045,-0.01,0.01,0.04,0.05
5.055,0.00,0.03,0.02,0.04
5.065,-0.01,0.05,0.01,0.05
5.075,-0.02,0.04,-0.01,0.05
5.085,-0.02,0.03,0.00,0.03
5.095,-0.00,0.02,0.01,0.02
5.106,-0.00,0.03,0.03,0.04
5.115,0.00,-0.00,0.02,0.02
5.126,-0.02,0.00,0.02,0.03
5.136,-0.05,0.01,0.04,0.06
5.146,-0.02,-0.02,0.05,0.06
5.156,-0.00,-0.02,0.02,0.02
5.166,0.01,-0.05,-0.02,0.06
5.176,0.01,-0.06,-0.05,0.08
5.186,0.04,-0.05,-0.07,0.09
5.196,0.04,-0.02,-0.05,0.07
5.206,0.03,-0.01,-0.01,0.03
5.216,0.02,0.01,-0.02,0.03
5.226,-0.00,0.01,0.00,0.01
5.236,0.01,-0.00,0.04,0.04
5.246,0.02,-0.00,0.05,0.06
5.256,-0.00,0.02,0.05,0.05
5.267,-0.02,0.03,0.01,0.03
5.277,-0.03,-0.00,-0.08,0.09
5.287,-0.01,-0.03,-0.06,0.07
5.297,-0.00,-0.03,0.01,0.03
5.307,-0.01,-0.03,0.01,0.03
5.317,-0.01,0.01,0.02,0.02
5.327,-0.01,0.03,0.03,0.05
5.337,-0.03,0.05,0.01,0.06
5.347,-0.01,0.03,0.02,0.04
5.357,-0.03,0.04,0.03,0.05
5.367,-0.04,0.02,0.03,0.05
5.377,-0.01,0.01,0.03,0.03
5.387,0.00,-0.00,0.01,0.01
5.397,0.01,-0.02,0.02,0.03
5.408,0.01,-0.01,0.02,0.02
5.418,-0.03,0.01,-0.00,0.03
5.428,-0.00,-0.02,-0.00,0.02
5.438,0.01,-0.02,-0.02,0.03
5.448,-0.00,-0.01,-0.02,0.03
5.458,0.01,-0.01,-0.02,0.03
5.468,0.01,-0.01,0.00,0.02
5.478,0.02,-0.00,0.01,0.02
5.488,0.02,-0.02,-0.00,0.03
5.498,-0.00,-0.02,-0.01,0.03
5.508,0.01,-0.01,-0.01,0.02
5.518,-0.00,-0.01,-0.02,0.03
5.528,0.01,-0.02,-0.02,0.03
5.538,-0.00,0.02,-0.00,0.02
5.549,-0.00,0.01,0.00,0.01
5.558,-0.01,0.02,0.03,0.04
5.569,-0.03,0.01,0.02,0.04
5.579,-0.00,0.01,0.01,0.01
5.589,0.00,0.02,0.04,0.05
5.599,-0.01,0.01,0.02,0.03
5.609,-0.02,0.01,0.01,0.02
5.619,-0.01,0.00,0.02,0.03
5.629,-0.02,0.01,0.03,0.04
5.639,-0.03,0.02,0.00,0.03
5.649,0.01,0.01,-0.04,0.04
5.659,0.02,-0.01,-0.01,0.02
5.669,-0.02,0.00,-0.00,0.02
5.679,-0.01,-0.00,0.03,0.03
5.690,-0.03,0.00,0.03,0.04
5.699,-0.02,-0.00,-0.00,0.02
5.710,0.02,-0.01,0.01,0.02
5.720,0.03,-0.01,0.04,0.05
5.730,0.03,-0.03,-0.03,0.05
5.740,0.03,-0.02,-0.05,0.06
5.750,-0.02,0.00,0.01,0.02
5.760,-0.00,0.01,-0.00,0.01
5.770,0.01,-0.00,0.01,0.01
5.780,0.00,0.00,-0.03,0.03
5.790,0.00,-0.02,-0.07,0.08
5.800,0.01,-0.03,-0.04,0.05
5.810,0.03,-0.05,0.01,0.06
5.820,0.01,-0.05,0.04,0.07
5.830,0.00,-0.02,0.04,0.05
5.840,-0.00,0.01,0.01,0.02
5.851,-0.03,0.02,-0.02,0.05
5.861,-0.02,0.04,0.00,0.04
5.871,-0.00,0.04,0.03,0.05
5.881,-0.02,0.04,0.05,0.06
5.891,-0.03,0.04,0.03,0.06
5.901,-0.01,0.05,0.04,0.06
5.911,-0.02,0.03,0.07,0.07
5.921,-0.04,-0.02,0.04,0.06
5.931,-0.01,-0.01,0.03,0.03
5.941,-0.00,0.00,0.00,0.00
5.951,0.01,-0.04,-0.01,0.04
5.961,-0.00,-0.03,-0.02,0.04
5.971,0.02,-0.03,-0.03,0.05
5.982,0.03,-0.03,-0.07,0.08
5.992,0.03,-0.04,-0.08,0.10
6.002,0.04,-0.03,-0.06,0.08
6.012,0.04,-0.04,-0.05,0.08
6.022,0.03,-0.02,-0.04,0.06
6.032,0.03,0.00,0.00,0.03
6.042,0.00,0.02,0.04,0.04
