time,ax,ay,az,atotal
3.253,0.20,0.01,-0.28,0.35
3.263,0.41,-0.06,-0.40,0.57
3.273,0.53,-0.13,-0.45,0.71
3.283,0.68,-0.25,-0.49,0.87
3.293,0.75,-0.41,-0.50,0.99
3.303,0.79,-0.50,-0.46,1.05
3.313,0.82,-0.67,-0.44,1.15
3.323,0.82,-0.85,-0.40,1.25
3.333,0.78,-1.16,-0.35,1.44
3.343,0.73,-1.59,-0.33,1.78
3.354,0.73,-2.14,-0.33,2.28
3.364,0.72,-2.72,-0.34,2.83
3.374,0.77,-3.37,-0.34,3.48
3.384,0.91,-4.03,-0.32,4.14
3.394,1.09,-4.62,-0.33,4.76
3.404,1.08,-5.12,-0.37,5.24
3.414,0.86,-5.61,-0.53,5.69
3.424,0.27,-5.87,-0.70,5.92
3.434,-0.64,-5.78,-0.96,5.89
3.444,-1.67,-5.40,-1.49,5.84
3.454,-3.00,-4.57,-3.37,6.42
3.464,-4.71,-3.31,-7.83,9.72
3.474,-6.22,-1.75,-11.93,13.57
3.484,-6.30,-0.55,-11.40,13.04
3.495,-5.43,-0.34,-9.77,11.18
3.505,-3.44,-0.66,-8.03,8.76
3.515,-2.16,-1.53,-5.10,5.75
3.525,-1.55,-2.09,-2.22,3.42
3.535,-0.55,-2.43,0.70,2.59
3.545,0.45,-2.27,3.79,4.44
3.555,1.26,-1.71,5.53,5.93
3.565,2.00,-0.96,6.03,6.43
3.575,1.95,-0.36,6.08,6.40
3.585,1.67,-0.20,6.02,6.25
3.595,1.37,-0.17,5.10,5.28
3.605,1.24,-0.39,2.99,3.26
3.615,1.55,-1.36,-0.13,2.07
3.625,1.14,-2.39,-2.92,3.94
3.636,-0.30,-2.82,-4.22,5.08
3.645,-1.23,-2.60,-2.77,3.99
3.656,-1.08,-2.12,0.08,2.38
3.666,-0.69,-1.51,1.70,2.38
3.676,-0.47,-1.19,1.67,2.10
3.686,-0.79,-0.92,1.48,1.92
3.696,-1.51,-0.36,2.14,2.64
3.706,-1.64,0.13,2.49,2.99
3.716,-1.50,0.77,2.15,2.73
3.726,-1.42,1.25,2.03,2.77
3.736,-1.41,1.43,2.02,2.85
3.746,-1.59,1.61,2.29,3.22
3.757,-1.52,1.76,2.88,3.70
3.766,-1.40,2.08,3.50,4.30
3.777,-1.21,2.54,4.07,4.94
3.787,-1.00,3.13,4.68,5.72
3.797,-0.80,3.70,5.07,6.33
3.807,-0.67,4.20,5.28,6.78
3.817,-0.60,4.58,5.20,6.96
3.827,-0.66,4.77,5.08,7.00
3.837,-0.88,4.86,4.97,7.01
3.847,-1.13,4.90,4.98,7.08
3.857,-1.17,4.99,5.18,7.29
3.867,-0.99,5.05,5.35,7.43
3.877,-0.63,4.97,5.20,7.22
3.887,-0.27,4.40,4.86,6.56
3.897,0.16,3.48,4.41,5.62
3.907,0.56,2.51,3.43,4.29
3.917,0.93,1.61,1.82,2.61
3.928,1.76,0.52,-0.26,1.85
3.938,2.89,-0.58,-1.97,3.55
3.948,2.57,-0.36,-0.01,2.59
3.958,0.78,0.50,3.99,4.10
3.968,0.05,1.13,4.42,4.56
3.978,2.19,0.48,-3.79,4.40
3.988,1.13,-2.87,-18.09,18.35
3.998,-4.84,-6.30,-11.86,14.28
4.008,-6.88,-5.93,7.90,12.04
4.018,-4.83,-6.01,8.83,11.72
4.028,-1.93,-7.15,1.69,7.60
4.038,-3.05,-6.31,-1.24,7.12
4.048,-5.53,-2.77,-4.90,7.89
4.059,-4.24,0.22,-2.53,4.94
4.068,-1.61,0.84,1.16,2.16
4.079,-0.19,0.28,2.02,2.05
4.089,-0.45,-1.29,1.16,1.79
4.099,-1.46,-2.58,0.64,3.03
4.109,-2.40,-2.92,0.31,3.80
4.119,-2.93,-2.34,0.38,3.77
4.129,-2.94,-1.35,1.22,3.46
4.139,-2.43,-0.43,2.05,3.20
4.149,-1.74,0.42,2.57,3.13
4.159,-0.83,0.71,2.71,2.93
4.169,-0.20,0.53,2.83,2.89
4.179,0.22,-0.02,2.72,2.73
4.189,0.53,-0.52,2.48,2.58
4.200,0.65,-0.90,2.28,2.53
4.209,0.90,-1.38,1.87,2.49
4.220,1.09,-1.50,1.43,2.34
4.230,1.44,-1.35,0.72,2.10
4.240,1.82,-0.89,-0.11,2.03
4.250,1.97,-0.18,-0.45,2.02
4.260,1.93,0.58,-0.56,2.09
4.270,1.68,1.16,-0.54,2.11
4.280,1.43,1.55,-0.45,2.15
4.290,1.07,1.79,-0.50,2.14
4.300,0.61,1.88,-0.70,2.10
4.310,0.10,1.80,-0.90,2.02
4.320,-0.37,1.58,-0.99,1.90
4.330,-0.57,1.31,-0.99,1.74
4.340,-0.51,1.07,-0.91,1.50
4.350,-0.28,0.82,-0.72,1.12
4.361,-0.05,0.66,-0.51,0.84
4.371,0.17,0.62,-0.44,0.78
4.381,0.42,0.56,-0.57,0.90
4.391,0.55,0.47,-0.64,0.97
4.401,0.61,0.45,-0.74,1.06
4.411,0.76,0.43,-0.79,1.18
4.421,0.98,0.34,-0.76,1.29
4.431,1.12,0.25,-0.64,1.31
4.441,1.15,0.13,-0.59,1.30
4.451,1.11,0.09,-0.67,1.30
4.461,1.03,0.12,-0.82,1.33
4.471,0.85,0.11,-0.96,1.28
4.481,0.71,-0.04,-1.02,1.24
4.491,0.58,-0.23,-0.98,1.16
4.502,0.53,-0.33,-0.95,1.13
4.512,0.59,-0.27,-1.01,1.20
