time,ax,ay,az,atotal
2.004,-1.73,0.97,0.98,2.21
2.014,-2.23,0.83,0.65,2.47
2.024,-2.11,0.38,0.52,2.21
2.034,-1.46,0.19,0.76,1.66
2.044,-0.89,0.23,1.10,1.43
2.054,-0.57,0.01,1.18,1.31
2.064,-0.54,0.02,1.16,1.28
2.074,-0.77,0.39,1.22,1.49
2.085,-0.69,0.35,1.30,1.51
2.095,-0.47,0.17,1.41,1.50
2.105,-0.25,-0.05,1.42,1.44
2.115,0.00,-0.12,1.26,1.26
2.125,0.35,0.05,0.91,0.97
2.135,0.75,0.31,0.32,0.88
2.145,1.04,0.45,-0.04,1.13
2.155,1.06,0.74,-0.29,1.33
2.165,0.84,1.00,-0.26,1.34
2.175,0.65,1.09,0.07,1.27
2.185,0.51,1.19,0.49,1.39
2.195,0.33,1.28,0.89,1.59
2.205,0.17,1.26,1.15,1.72
2.215,-0.02,1.03,1.29,1.65
2.226,-0.09,0.62,1.11,1.27
2.236,-0.07,0.27,0.77,0.82
2.246,0.03,0.02,0.57,0.57
2.256,0.23,-0.44,0.29,0.58
2.266,0.53,-1.08,-0.10,1.21
2.276,0.83,-1.97,-0.65,2.23
2.286,1.15,-2.71,-1.59,3.34
2.296,1.60,-3.06,-3.47,4.90
2.306,2.07,-3.15,-6.24,7.29
2.316,2.28,-2.33,-6.80,7.54
2.326,1.92,-1.11,-5.54,5.97
2.336,0.91,-0.45,-4.05,4.17
2.346,-0.38,0.19,-2.71,2.74
2.356,-1.60,0.76,-1.72,2.47
2.367,-2.66,0.85,-1.06,2.99
2.377,-3.32,0.94,-0.54,3.49
2.387,-3.63,0.63,-0.12,3.69
2.397,-3.73,0.01,0.26,3.74
2.407,-3.37,-0.59,0.59,3.47
2.417,-2.23,-0.65,0.83,2.47
2.427,-0.84,-0.39,0.96,1.34
2.437,0.46,-0.28,1.11,1.23
2.447,1.54,-0.21,1.18,1.96
2.457,2.32,-0.05,1.22,2.62
2.467,2.81,0.07,1.27,3.08
2.477,3.03,0.23,1.34,3.32
2.487,3.01,0.41,1.36,3.33
2.497,2.59,0.68,1.38,3.01
2.508,2.20,1.07,1.43,2.83
2.518,1.86,1.24,1.42,2.65
2.528,1.30,1.28,1.42,2.31
2.538,0.79,1.23,1.39,2.02
2.548,0.31,1.08,1.30,1.71
2.558,-0.05,0.88,1.13,1.43
2.568,-0.20,0.64,1.00,1.20
2.578,-0.21,0.66,1.02,1.23
2.588,-0.22,0.66,1.18,1.37
2.598,-0.31,0.41,1.05,1.17
2.608,-0.43,0.14,0.65,0.79
2.618,-0.64,0.13,0.26,0.70
2.628,-0.82,0.14,-0.05,0.83
2.639,-1.01,0.18,-0.46,1.12
2.649,-1.18,0.23,-0.91,1.50
2.659,-1.48,-0.01,-1.43,2.06
2.669,-1.41,-0.66,-3.93,4.22
2.679,-0.85,-1.80,-6.74,7.03
2.689,-0.10,-2.08,-4.92,5.35
2.699,0.51,-2.30,-2.38,3.35
2.709,1.22,-2.69,-0.60,3.02
2.719,1.66,-2.53,0.47,3.06
2.729,1.86,-1.74,0.72,2.65
2.739,1.77,-0.71,0.71,2.04
2.749,1.34,-0.01,0.79,1.56
2.759,0.79,0.52,1.07,1.43
2.769,0.34,0.81,1.31,1.58
2.779,0.03,0.79,1.36,1.57
2.789,-0.09,0.58,1.27,1.40
2.800,-0.04,0.35,1.25,1.30
2.810,-0.06,0.07,1.30,1.30
2.820,-0.59,0.01,1.48,1.60
2.830,-1.27,-0.02,1.77,2.17
2.840,-1.77,-0.20,2.12,2.77
2.850,-1.87,-0.25,1.97,2.73
2.860,-1.25,-0.02,1.12,1.68
2.870,-0.71,0.15,0.15,0.74
2.880,-0.53,0.17,-0.54,0.77
2.890,-0.55,0.10,-0.88,1.04
2.900,-0.56,-0.01,-1.07,1.21
2.910,-0.29,-0.15,-1.25,1.29
2.920,0.25,-0.21,-1.52,1.55
2.930,0.93,-0.02,-1.66,1.91
2.940,1.48,0.19,-1.59,2.18
2.951,1.75,0.43,-1.42,2.29
2.961,1.75,0.66,-1.30,2.28
2.971,1.56,0.84,-1.29,2.19
2.981,1.33,1.03,-1.42,2.20
2.991,0.91,1.07,-1.58,2.12
3.001,0.32,0.74,-1.55,1.75
3.011,-0.32,0.36,-1.34,1.42
3.021,-0.85,0.06,-1.07,1.37
3.031,-1.23,-0.14,-0.83,1.49
3.041,-1.54,-0.23,-0.71,1.71
3.051,-1.76,-0.30,-0.71,1.92
3.061,-1.99,-0.42,-0.76,2.18
3.071,-2.13,-0.55,-0.81,2.35
3.081,-2.15,-0.77,-0.80,2.41
3.091,-1.98,-0.95,-0.69,2.30
3.101,-1.68,-1.01,-0.48,2.02
3.112,-1.34,-0.86,-0.25,1.62
3.122,-1.04,-0.64,-0.10,1.23
3.132,-0.65,-0.57,-0.04,0.87
3.142,-0.20,-0.47,-0.01,0.51
3.152,0.24,-0.49,0.01,0.55
3.162,0.56,-0.58,0.10,0.81
3.172,0.79,-0.53,0.24,0.98
3.182,0.96,-0.34,0.40,1.09
3.192,1.11,-0.02,0.61,1.27
3.202,1.36,0.33,0.79,1.60
3.212,1.63,0.61,0.88,1.95
3.222,1.85,0.82,0.97,2.24
3.233,1.91,0.98,1.03,2.38
3.243,1.86,1.10,1.06,2.41
3.253,1.73,1.17,1.03,2.33
3.263,1.58,1.25,0.98,2.24
3.273,1.48,1.38,0.91,2.22
3.283,1.34,1.49,0.85,2.18
3.293,1.09,1.38,0.76,1.91
3.303,0.75,1.02,0.68,1.44
3.313,0.37,0.62,0.55,0.91
3.323,0.04,0.21,0.33,0.39
3.333,-0.25,-0.13,0.03,0.28
3.343,-0.65,-0.42,-0.42,0.88
3.353,-1.08,-0.58,-0.89,1.52
3.364,-1.48,-0.66,-1.30,2.08
3.374,-1.78,-0.66,-1.49,2.41
3.384,-1.90,-0.65,-1.44,2.47
3.394,-1.82,-0.62,-1.23,2.29
3.404,-1.60,-0.63,-0.98,1.98
3.414,-1.35,-0.62,-0.75,1.66
3.424,-1.07,-0.56,-0.55,1.33
3.434,-0.75,-0.39,-0.42,0.94
3.444,-0.41,-0.22,-0.32,0.57
3.454,-0.11,-0.13,-0.29,0.34
3.464,0.06,-0.12,-0.29,0.31
3.474,0.18,-0.20,-0.31,0.41
3.484,0.36,-0.25,-0.26,0.51
3.494,0.46,-0.27,-0.10,0.54
3.504,0.44,-0.23,0.10,0.50
3.515,0.30,-0.09,0.27,0.42
3.524,0.15,0.09,0.42,0.46
3.535,0.07,0.20,0.48,0.53
3.545,0.03,0.26,0.50,0.57
3.555,-0.03,0.27,0.51,0.58
3.565,-0.09,0.18,0.50,0.54
3.575,-0.15,0.09,0.48,0.51
3.585,-0.14,-0.02,0.45,0.47
3.595,-0.09,-0.07,0.38,0.40
3.605,-0.06,-0.09,0.20,0.23
3.615,-0.00,-0.11,-0.05,0.12
3.625,-0.00,-0.05,-0.24,0.24
3.635,-0.03,-0.02,-0.38,0.38
3.645,-0.05,-0.07,-0.48,0.48
3.655,-0.09,-0.16,-0.47,0.50
3.666,-0.14,-0.16,-0.40,0.45
3.676,-0.27,-0.03,-0.32,0.42
3.686,-0.36,0.08,-0.19,0.42
3.696,-0.35,0.12,-0.03,0.37
3.706,-0.32,0.09,0.12,0.35
3.716,-0.32,0.02,0.22,0.39
3.726,-0.33,-0.04,0.24,0.41
3.736,-0.34,-0.05,0.20,0.40
3.746,-0.26,-0.04,0.16,0.31
3.756,-0.17,-0.01,0.13,0.22
3.766,-0.13,-0.07,0.10,0.18
3.776,-0.17,-0.23,0.08,0.30
3.786,-0.26,-0.35,0.02,0.43
3.796,-0.43,-0.40,-0.10,0.59
3.807,-0.65,-0.39,-0.30,0.82
3.817,-0.84,-0.35,-0.60,1.09
3.827,-0.90,-0.29,-0.87,1.29
3.837,-0.79,-0.21,-1.02,1.31
3.847,-0.60,-0.11,-1.08,1.24
3.857,-0.37,0.01,-1.06,1.12
3.867,-0.10,0.17,-0.94,0.96
3.877,0.20,0.27,-0.72,0.80
3.887,0.53,0.32,-0.53,0.81
3.897,0.77,0.37,-0.28,0.90
3.907,0.90,0.42,-0.09,0.99
3.917,0.91,0.52,0.06,1.05
3.927,0.91,0.65,0.19,1.13
3.937,0.90,0.70,0.30,1.18
3.948,0.94,0.69,0.34,1.21
3.958,0.94,0.62,0.34,1.17
3.968,0.88,0.49,0.27,1.04
3.978,0.64,0.34,0.12,0.74
3.988,0.27,0.18,-0.02,0.33
3.998,-0.05,0.07,-0.12,0.15
4.008,-0.20,-0.03,-0.12,0.24
4.018,-0.14,-0.11,-0.03,0.18
4.028,-0.02,-0.16,0.10,0.19
4.038,0.08,-0.16,0.20,0.27
4.048,0.21,-0.11,0.26,0.35
4.058,0.38,-0.05,0.33,0.50
4.068,0.48,0.05,0.39,0.62
4.078,0.52,0.19,0.48,0.74
4.088,0.48,0.40,0.54,0.82
4.099,0.37,0.63,0.58,0.93
4.109,0.24,0.77,0.56,0.98
4.119,0.11,0.76,0.49,0.91
4.129,-0.04,0.55,0.40,0.68
4.139,-0.13,0.20,0.27,0.36
4.149,-0.27,-0.11,0.09,0.30
4.159,-0.46,-0.35,-0.13,0.59
4.169,-0.73,-0.55,-0.48,1.03
4.179,-1.07,-0.70,-0.88,1.55
4.189,-1.34,-0.79,-1.33,2.04
4.199,-1.59,-0.84,-1.70,2.47
4.209,-1.81,-0.90,-1.91,2.78
4.219,-1.69,-0.83,-1.73,2.55
4.230,-1.22,-0.70,-1.31,1.92
4.240,-0.71,-0.51,-0.86,1.23
4.250,-0.30,-0.26,-0.44,0.59
4.260,-0.00,0.01,-0.03,0.04
4.270,0.23,0.26,0.31,0.46
4.280,0.40,0.37,0.46,0.72
4.290,0.45,0.39,0.46,0.75
4.300,0.48,0.37,0.44,0.75
4.310,0.49,0.32,0.45,0.74
4.320,0.40,0.27,0.49,0.69
4.330,0.24,0.20,0.50,0.59
4.340,0.10,0.13,0.50,0.53
4.350,-0.04,0.03,0.51,0.52
4.361,-0.20,-0.06,0.51,0.55
4.370,-0.33,-0.15,0.51,0.62
4.381,-0.45,-0.25,0.49,0.71
4.391,-0.59,-0.33,0.47,0.82
4.401,-0.72,-0.41,0.42,0.93
4.411,-0.79,-0.47,0.32,0.97
4.421,-0.80,-0.50,0.24,0.98
4.431,-0.73,-0.43,0.22,0.88
4.441,-0.58,-0.22,0.18,0.65
4.451,-0.37,-0.01,0.14,0.40
4.461,-0.16,0.12,0.12,0.23
4.471,-0.04,0.23,0.10,0.25
4.481,0.05,0.26,0.09,0.28
