time,ax,ay,az,atotal
3.424,0.71,0.55,-0.88,1.25
3.434,0.55,0.24,-0.61,0.86
3.444,0.66,0.09,-0.81,1.05
3.454,0.69,0.28,-1.01,1.26
3.464,0.52,0.66,-1.06,1.35
3.474,0.49,1.36,-1.49,2.08
3.485,-0.17,1.94,-1.79,2.65
3.495,-1.00,2.06,-1.11,2.55
3.505,-1.57,1.81,-0.09,2.40
3.515,-1.71,1.50,0.43,2.32
3.525,-1.66,1.41,0.59,2.26
3.535,-1.42,1.27,0.61,2.00
3.545,-0.84,0.83,0.34,1.23
3.555,-0.37,0.63,-0.22,0.77
3.565,-0.12,0.83,-0.61,1.03
3.575,0.11,1.15,-0.60,1.31
3.585,0.27,1.32,-0.41,1.41
3.595,0.45,1.39,-0.18,1.47
3.605,0.68,1.36,0.15,1.53
3.615,1.04,1.15,0.11,1.55
3.626,1.55,0.76,-1.09,2.04
3.635,2.55,0.45,-2.80,3.81
3.646,3.97,0.05,-4.97,6.36
3.656,4.97,-0.63,-6.68,8.35
3.666,4.96,-1.62,-6.67,8.47
3.676,4.06,-2.52,-5.54,7.32
3.686,2.88,-2.99,-4.12,5.85
3.696,1.57,-3.01,-2.85,4.44
3.706,0.79,-2.64,-1.64,3.20
3.716,0.24,-2.50,-0.00,2.52
3.726,-0.28,-2.18,1.98,2.96
3.736,-0.20,-1.99,3.49,4.02
3.746,0.32,-2.19,3.85,4.44
3.756,0.99,-2.84,3.58,4.67
3.767,1.68,-3.68,3.30,5.22
3.776,1.83,-4.47,3.40,5.91
3.787,1.28,-4.75,3.52,6.05
3.797,0.13,-4.70,3.39,5.80
3.807,-1.10,-4.00,3.09,5.17
3.817,-2.96,-2.81,2.81,4.95
3.827,-4.09,-1.04,2.48,4.89
3.837,-3.83,0.69,2.08,4.41
3.847,-3.29,2.15,1.94,4.38
3.857,-2.99,3.16,2.37,4.96
3.867,-2.72,3.72,3.15,5.58
3.877,-2.54,3.97,3.65,5.96
3.887,-2.51,3.88,3.63,5.88
3.897,-2.43,3.32,3.17,5.19
3.907,-2.31,2.11,2.68,4.12
3.918,-2.53,0.78,2.40,3.57
3.928,-2.97,-0.04,2.18,3.69
3.938,-3.46,-0.16,2.26,4.14
3.948,-3.77,0.30,2.71,4.65
3.958,-3.89,1.01,3.22,5.15
3.968,-3.82,1.72,3.55,5.49
3.978,-3.39,2.41,3.47,5.42
3.988,-2.51,2.99,3.10,4.98
3.998,-1.47,3.28,2.49,4.37
4.008,-0.45,3.27,1.70,3.71
4.018,0.22,2.98,1.11,3.19
4.028,0.53,2.58,0.83,2.76
4.038,0.83,2.17,0.74,2.43
4.049,1.08,1.60,0.71,2.06
4.058,1.13,0.94,0.59,1.58
4.069,0.89,0.28,0.23,0.97
4.078,0.59,-0.42,-0.37,0.81
4.089,0.30,-0.94,-1.12,1.49
4.099,-0.24,-1.35,-2.17,2.57
4.109,-0.65,-1.31,-3.60,3.88
4.119,-0.51,-1.15,-5.90,6.04
4.129,0.95,-1.46,-8.10,8.29
4.139,3.04,-2.67,-7.96,8.93
4.149,4.69,-4.66,-6.38,9.19
4.159,4.89,-6.07,-5.19,9.36
4.169,4.05,-6.46,-4.74,8.98
4.179,2.12,-5.99,-3.82,7.42
4.190,-0.80,-4.56,-2.07,5.07
4.199,-3.19,-2.49,-0.25,4.06
4.210,-4.65,-0.54,0.82,4.75
4.220,-5.67,1.10,0.97,5.86
4.230,-5.92,2.28,1.28,6.47
4.240,-5.36,2.10,0.06,5.75
4.250,-4.25,-0.77,-3.42,5.51
4.260,0.57,-4.67,-5.84,7.50
4.270,4.06,-6.09,-2.63,7.78
4.280,4.89,-6.45,-0.24,8.10
4.290,5.21,-6.06,-0.25,7.99
4.300,4.09,-4.62,1.13,6.28
4.310,2.73,-1.89,2.62,4.23
4.320,1.85,0.54,3.39,3.90
4.330,1.26,1.93,3.73,4.39
4.340,0.99,2.49,3.66,4.54
4.351,0.76,2.45,3.27,4.16
4.361,1.26,1.26,2.79,3.31
4.371,2.42,-0.49,2.14,3.27
4.381,2.22,-0.90,1.02,2.60
4.391,1.19,-0.58,-0.07,1.33
4.401,0.05,-0.04,-0.83,0.83
4.411,-0.72,0.36,-0.98,1.27
4.421,-0.95,0.69,-0.62,1.33
4.431,-0.84,0.93,0.04,1.25
4.441,-0.58,1.02,0.55,1.29
4.451,0.03,1.00,0.80,1.28
4.461,0.72,0.96,0.75,1.42
4.471,1.38,1.00,0.35,1.74
4.481,1.96,1.13,-0.39,2.30
4.492,2.26,1.29,-0.98,2.78
4.502,2.12,1.42,-1.32,2.88
4.512,1.64,1.49,-1.35,2.60
4.522,1.03,1.48,-1.07,2.10
4.532,0.44,1.36,-0.91,1.70
4.542,-0.17,1.25,-0.76,1.47
4.552,-0.75,1.22,-0.45,1.50
4.562,-1.34,1.06,-0.05,1.71
4.572,-1.80,1.10,0.09,2.11
4.582,-2.24,1.31,0.02,2.60
4.592,-2.36,1.31,-0.14,2.70
4.602,-2.00,1.09,-0.40,2.32
4.612,-1.35,0.90,-0.84,1.83
4.622,-0.65,0.86,-1.52,1.86
4.633,-0.02,0.99,-2.62,2.80
4.643,0.58,0.99,-3.19,3.39
4.653,0.71,0.77,-2.63,2.83
4.663,0.29,0.55,-1.68,1.79
4.673,-0.21,0.53,-1.21,1.34
4.683,-0.55,0.85,-1.43,1.75
4.693,-0.62,1.43,-2.09,2.61
4.703,-0.23,2.08,-3.46,4.04
4.713,0.60,2.37,-5.12,5.68
4.723,2.08,1.83,-6.48,7.05
4.733,3.50,0.51,-6.37,7.29
4.743,4.44,-0.70,-5.82,7.35
4.753,4.68,-1.85,-5.17,7.21
4.763,4.69,-2.90,-3.53,6.55
4.774,4.01,-3.56,-1.34,5.52
4.784,2.48,-3.57,1.60,4.63
4.794,0.95,-3.46,4.15,5.48
4.804,0.25,-3.67,5.48,6.60
4.814,0.43,-4.37,5.74,7.23
4.824,0.65,-5.16,5.31,7.43
4.834,0.57,-5.52,4.35,7.05
4.844,0.10,-5.58,3.64,6.66
4.854,-0.64,-4.90,3.10,5.83
4.864,-1.55,-3.63,2.50,4.67
4.874,-2.38,-2.23,1.44,3.56
4.884,-2.64,-1.27,0.73,3.02
4.894,-2.45,-0.76,1.13,2.80
4.904,-2.09,-0.50,2.15,3.04
4.915,-1.50,-0.16,2.84,3.21
4.925,-0.97,0.21,3.16,3.31
4.935,-0.67,0.53,3.30,3.41
4.945,-0.49,0.73,3.25,3.37
4.955,-0.51,0.80,3.05,3.20
4.965,-0.88,0.77,2.86,3.09
4.975,-1.88,0.72,2.74,3.40
4.985,-3.15,0.79,2.71,4.23
4.995,-4.00,0.92,2.72,4.92
5.005,-4.52,1.12,2.75,5.41
5.015,-4.83,1.45,2.87,5.80
5.025,-5.01,1.89,2.99,6.13
5.035,-5.10,2.44,3.06,6.43
5.045,-4.96,3.12,3.11,6.63
5.056,-4.72,3.83,3.23,6.88
5.065,-4.40,4.40,3.30,7.05
5.076,-3.90,4.73,3.30,6.96
5.086,-3.23,4.82,3.36,6.71
5.096,-2.47,4.84,3.23,6.32
5.106,-1.66,4.81,2.75,5.79
5.116,-0.82,4.73,1.96,5.18
5.126,0.20,4.64,0.76,4.71
5.136,1.58,4.12,-0.81,4.48
5.146,3.23,2.74,-3.21,5.31
5.156,4.91,0.88,-6.89,8.50
5.166,5.98,-0.61,-9.49,11.23
5.176,6.11,-1.39,-10.36,12.11
5.186,5.43,-1.74,-10.72,12.14
5.196,5.18,-2.57,-9.47,11.10
5.207,5.62,-4.34,-7.53,10.35
5.217,5.53,-5.86,-4.21,9.09
5.227,4.15,-6.47,-1.61,7.85
5.237,1.42,-6.31,1.51,6.64
5.247,-1.25,-5.42,4.28,7.02
5.257,-3.29,-4.51,4.43,7.13
5.267,-4.82,-2.80,4.08,6.91
5.277,-4.97,-0.17,4.38,6.63
5.287,-4.30,1.77,4.55,6.50
5.297,-3.35,2.41,4.20,5.89
5.307,-2.28,0.46,3.73,4.40
5.317,-0.62,-3.93,2.50,4.70
5.327,4.80,-9.86,-5.83,12.42
5.338,8.61,-13.44,-13.93,21.18
5.348,7.56,-13.22,-12.09,19.44
5.358,3.16,-10.00,-2.42,10.76
5.368,0.31,-4.89,4.88,6.91
5.378,-0.53,-1.88,5.63,5.96
5.388,-0.71,-0.23,5.28,5.33
5.398,-0.89,1.19,5.29,5.49
5.408,-1.16,2.17,5.07,5.63
5.418,-1.26,2.21,4.99,5.61
5.428,-0.88,0.90,5.23,5.38
5.438,-0.30,-0.30,5.06,5.08
5.448,0.37,-0.58,4.31,4.37
5.458,0.89,-0.24,3.55,3.67
5.468,0.87,0.53,2.94,3.12
5.478,0.44,1.38,2.22,2.65
5.489,-0.11,2.09,0.82,2.25
5.499,-0.47,2.47,-1.68,3.03
5.509,0.05,2.53,-4.84,5.46
5.519,1.33,2.19,-6.68,7.15
5.529,2.19,1.92,-5.67,6.38
5.539,1.99,2.05,-2.92,4.09
5.549,1.41,2.44,-0.10,2.81
5.559,1.41,2.85,0.99,3.33
5.569,1.62,3.11,0.90,3.62
5.579,1.34,3.27,0.50,3.57
5.589,1.14,3.37,-0.19,3.57
5.599,1.10,3.48,-0.98,3.78
5.609,1.17,3.45,-1.48,3.93
5.620,1.30,3.24,-1.31,3.73
5.629,1.11,3.06,-0.84,3.36
5.640,0.80,2.94,-0.14,3.05
5.650,0.46,2.87,0.17,2.91
5.660,0.38,2.83,0.05,2.86
5.670,0.35,2.82,-0.01,2.84
5.680,0.29,2.81,-0.30,2.84
5.690,0.34,2.80,-0.85,2.95
5.700,0.35,2.61,-1.02,2.82
5.710,0.19,2.42,-0.94,2.60
5.720,-0.42,2.15,-0.17,2.20
5.730,-0.96,1.82,0.30,2.08
5.740,-0.87,1.56,-0.11,1.79
5.750,0.17,0.94,-1.42,1.71
5.760,1.88,-0.26,-3.97,4.40
5.770,3.47,-1.56,-6.87,7.85
5.781,4.95,-2.70,-8.64,10.32
5.791,5.75,-3.38,-8.44,10.76
5.801,5.51,-3.67,-6.22,9.09
5.811,4.89,-3.86,-3.88,7.34
5.821,4.27,-4.43,-2.00,6.47
5.831,3.52,-5.44,-0.35,6.49
5.841,2.75,-6.69,1.66,7.42
5.851,2.44,-7.88,3.33,8.90
5.861,1.82,-8.91,4.23,10.03
5.871,0.71,-9.25,4.38,10.26
5.881,-0.19,-8.06,4.24,9.11
5.891,-0.95,-5.04,3.84,6.40
5.902,-2.29,-1.70,3.41,4.45
5.911,-3.59,0.60,3.60,5.12
5.922,-4.37,2.00,4.08,6.31
5.932,-4.35,2.74,4.13,6.59
5.942,-3.37,2.68,4.10,5.95
5.952,-2.27,1.56,4.43,5.22
5.962,-2.00,0.30,4.54,4.97
5.972,-2.31,-0.41,4.24,4.85
5.982,-2.69,-0.61,3.65,4.57
5.992,-3.00,-0.40,2.81,4.13
6.002,-3.21,-0.01,2.23,3.91
6.012,-3.31,0.44,2.11,3.95
6.022,-3.50,0.94,2.09,4.18
6.032,-3.75,1.46,2.04,4.52
6.042,-4.11,2.00,1.96,4.97
6.052,-4.49,2.30,1.87,5.38
6.063,-4.52,2.62,1.99,5.59
6.073,-4.34,2.79,2.28,5.64
6.083,-3.97,2.92,2.63,5.59
6.093,-3.39,3.17,2.83,5.44
6.103,-2.73,3.56,2.86,5.32
6.113,-2.20,4.00,2.71,5.31
6.123,-1.83,4.51,2.43,5.44
6.133,-1.61,4.91,1.81,5.47
6.143,-1.61,4.82,0.91,5.16
6.153,-1.57,4.12,-0.34,4.42
6.163,-0.35,2.32,-2.32,3.30
6.173,1.65,0.47,-5.52,5.78
6.183,3.60,-1.02,-7.66,8.53
6.193,4.90,-1.83,-7.62,9.24
6.204,5.22,-2.19,-6.76,8.82
6.214,4.80,-1.93,-5.83,7.80
6.224,4.27,-1.09,-5.07,6.72
6.234,3.35,-0.95,-4.99,6.08
6.244,2.74,-2.00,-5.23,6.23
6.254,2.03,-3.49,-5.79,7.06
6.264,1.43,-4.21,-4.32,6.20
6.274,0.76,-4.19,-1.41,4.48
6.284,-0.29,-4.86,-0.66,4.91
6.294,-1.28,-5.11,0.51,5.30
6.304,-2.41,-4.67,1.58,5.48
6.314,-2.96,-3.42,1.89,4.90
6.324,-2.29,-1.84,2.06,3.59
6.334,-1.51,-0.98,2.33,2.95
6.345,-0.72,-1.66,2.41,3.02
6.355,0.49,-3.25,2.23,3.97
6.365,2.59,-4.64,1.30,5.48
6.375,5.64,-5.32,-0.30,7.76
6.385,7.16,-5.00,-1.72,8.90
6.395,6.63,-3.03,-3.49,8.08
6.405,3.59,-0.73,-3.24,4.90
6.415,1.18,0.51,0.40,1.35
6.425,0.52,0.49,3.20,3.28
6.435,0.68,0.37,3.33,3.42
6.445,0.18,0.23,2.86,2.87
6.455,-0.36,0.21,2.91,2.94
6.465,-0.55,0.44,2.81,2.90
6.475,-0.62,0.89,2.51,2.73
6.486,-0.69,1.37,2.21,2.69
6.495,-0.62,1.83,1.98,2.77
6.506,-0.47,2.25,1.83,2.93
6.516,-0.20,2.53,1.68,3.05
6.526,0.18,2.81,1.36,3.12
6.536,0.56,2.90,0.76,3.06
6.546,0.67,2.76,-0.00,2.84
